resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,average_cadence,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules
2,"{'id': 54565248, 'resource_state': 1}",Namiddagrit,41088.7,6300,6991,150.0,Ride,Ride,,16242927113,2025-10-24T13:59:48Z,2025-10-24T15:59:48Z,(GMT+01:00) Europe/Brussels,7200.0,,,,0,8,2,2,0,"{'id': 'a16242927113', 'summary_polyline': 'ilovHwh~Z]CCeERiA`F}G@[fBiAiC{TkEwMoGoOcEaGm@]eDeHa_@{q@uC{HsLmf@g@oF_@mPw@_IsAqFuJ{Tu@?aRrVgAbAoBuEmHsNwBjBY]WmCO@eBlSqAvLE`@UJq@]Yk@iDsS_DwJyDkWP{@m@Gy@PkBtAsKjOsCpAsF`@_Ab@uHnGyPnHyCfCeG|I}DtE}CbC}F`CaObEcEBkJuA}PlCuBBaCiAkGcH_@w@w@bAgIfEqEjIeMfXiGnH_FrIaAd@}GRwIxAq@x@qFrOgKtU{@`AwS`LmA`A}C`Fg@i@kDhIiCzEmf@fw@oAdCaFzN{AfCkCnCqCjB_LxFWKo@mCrIu@`@l@~g@`yDSr@gCnD}AbDy@vBAb@HLEm@vAmDTBnHvRrDtLrC`L`CvMpAzEB`A`@bA`B|Jz@xH?n@y@tB`@d@iGyHsD}BQ_@Q{EnBaKEuC_E}K}BaDUyGW_BaK}XyDeFg@mALkFhAsFVeECuCq@eKEmMc@_CqBmD{DgEaCgF{@w@_EWkF^_Cs@q@wBUcE|A}KQuA_BaCmBe@oJm@o@u@k@{AaAsGm@qLs@eGGmCsAQKd@}JlJ}AWw@`C?z@gA`Dm@C}DqC{@fCG|A}AnJU^yIgDxGnCjAD@`@TX|AQdBaAxAcB~BaGpIzJl@j@d@E`AiEj@sJVm@|@dB|@lGnAbEn@rGlOHp@^RdCy@xDOjCb@`H\\bBv@pAx@n@~Cx@pHk@`ANl@j@xAdDzErGp@|ATnAL~CGrFfA`PQxCeBvHKrDJpC\\hB~C~DxAtCdIpTLfABlF`@tBf@~@xBfBrClH@fA{AzHMlCHnFl@bC~E~DtEfG|B~DpClKpClNfBfFrD`I|NpV|BbCrHjGhErGr@`BdB|F|DhTdAbDxAtCrBpClDlCpQpDpAgKl@mBbAuAbJuHQuA^kEl@qCt@{AXAVy@tQ}PnAoBbA{C|BoNb@sAzFyI~@cA|A{@pNmDlCaBvXm\\zCaCvVmIzJfClBkAdAsDt@{A`GaHtDeII_AiB}IjB{UDiCoA{YAyCfE{`@dBcK|HaTh@VNo@rAa@PgXoCqJ?uBlGqCzEeOj@f@l@ObNqGfEqAn@qAjFiRfD~BtArBhAa@bCeEb@mJBgMT_Gf@gG~@}CjGaGh@}Az@cG`@gF`Ao`@~An@lUlErAj@nLlIzNlClC?pFwAxAi@dC}BVAn@pWJZ', 'resource_state': 2}",False,False,False,False,everyone,False,,"[51.038294, 4.583965]","[51.03838, 4.584004]",6.522,10.443,True,122.8,149.0,False,True,24.2,1.4,17327186325,17327186325,garmin_ping_494396176090,False,0,1,False,,,,,,
2,"{'id': 54565248, 'resource_state': 1}",Namiddagloop,10206.1,4213,4217,4.0,Run,Run,,16223956753,2025-10-22T15:48:42Z,2025-10-22T17:48:42Z,(GMT+01:00) Europe/Brussels,7200.0,,,,0,8,0,1,0,"{'id': 'a16223956753', 'summary_polyline': 'mkovHsr~ZBOXa@RU|AaC`@e@BIBUFI|@e@\\UF?HPJ|@Ln@Dx@PrABrAJpBXpBZfD?~@DfA@pBCX?fBDdDNpGJpBJ|FCl@B\\?pC@d@Fh@@tACfA?pADd@NfADv@Lx@T`CLt@Dn@b@jCRzAPrC?\\DjBEtABNDJFBB?TQlBsBl@g@n@s@XQnCyC`@Yj@k@\\e@^_@R]~@y@`@c@NKHQTKv@w@NINSv@s@n@g@n@cAnEmEFC|@w@n@w@h@wAJc@Be@Eu@Mm@A[E]Ui@Mg@k@}A_@s@W]c@oCIs@Di@|AsCrAi@PAd@Mh@W\\EzAc@bB[p@?jA]l@AlB[n@?d@KL?@HKbCAt@Gh@KfCk@`FGlASbAARHXTRBLALWv@aAzBM^Ip@Mt@k@tEMzAFz@\\rBPxALfCLvAAtDHt@?`CNfFDvGr@hERh@j@zBHr@BHDXN^RnAGRk@\\e@f@c@XQBuA{@[UYKQQo@]e@a@]OK@c@^QXcBtBi@l@W\\aAdAQX?rAJt@Vt@B\\pAxDn@tB|@fCJj@b@nAX`AXr@\\lAd@fABNELu@t@kA|@iClCi@b@UX[P?RRpATxB?`@ERKL[HaBZMLGXKNm@Vw@XSA{@XG?SJ_AN{@f@MAM[U_BKgBMw@Cg@Gm@IqAAa@FWPURCZO`@EfA_@FBHNHf@LP|AHbBKFBDHDPFbAHt@DbB?j@Iv@CN[PaAZk@Fu@Ne@R_@DeBx@s@d@i@RWEIOa@{AQ]}@eAm@]K?c@LYGW@aAVe@@QF_@Dm@P_@F}@`@}Cz@cBTmA^UJIAAGUoDYoBG}@Ii@E}@[kCKg@Go@AaCGwBAsABk@?_@Dq@DeDLsBr@qEj@kEh@kDBg@A}@MeBCw@@i@Lk@ZoCH[NcAHcA^oDBm@PaAJgAPeC?cBCsCM_DKi@SqBK]Ko@C]Io@O_BKk@UgCYwBCmEFm@?gFG_@E}@@WCyA@MCq@Bm@EgAC}AEy@EWCa@GiDCqB?SF]?wBGs@?o@Ck@AaAE{@QoAc@wE?_@Ce@EY@]G{@w@uEMA[Vw@`@EHG\\c@f@S\\_@`@g@x@c@j@MV{@hAGd@HnD', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[51.038155, 4.585542]","[51.038432, 4.584155]",2.423,3.58,True,135.5,151.0,False,True,8.0,3.2,17308101665,17308101665,garmin_ping_493708896164,False,0,0,False,81.3,301.2,448.0,302.0,True,1268.2
2,"{'id': 54565248, 'resource_state': 1}",Avondloop,5303.6,1529,1529,6.0,Run,Run,,16202599885,2025-10-20T16:31:27Z,2025-10-20T18:31:27Z,(GMT+01:00) Europe/Brussels,7200.0,,,,2,10,0,1,0,"{'id': 'a16202599885', 'summary_polyline': 'kmovHoj~Z@KG_DFWFOrA_Bx@uAd@k@R_@\\a@Je@TK`@UZMHI@G@UAUSgAI_AOs@IaAQoABQDCD?LFNb@h@p@r@h@v@`Af@h@n@v@XRj@t@LTd@d@rChDpArBl@zAz@lBd@t@~AzBj@r@f@t@l@v@LXf@l@T^VX^ZVPXDfAXXXxDpADD`@Ln@^dAhA\\VJRd@f@T\\\\X^h@NLZb@h@j@b@l@j@h@n@z@VP~@\\d@JPBLFJ?j@Pp@XTRLHL?PGPYDUZsCBq@Jo@RsB?}@Fg@DaBLoA?m@EMEEI?_AR[FS?CBa@D_@H_BJYHqAL{@LG?SF]Vc@Da@Ps@Vk@P_@FWPCDCR@THNrB~BXXJR\\^PXp@r@X\\f@\\BNADMH_@Ho@`@cBtAmAlACF?j@RjA@d@Ib@i@xAUd@{@~@sAjASVYVi@r@UL]\\c@f@GR[`@WJUPQPg@^_@`@k@t@]P{@x@{@bAc@l@y@z@]h@UNmBjBIFE@k@p@UN]`@kBhB}@`AOLKDICCG?WCQCgCGkBc@sD]yAEc@Ic@WuBGgAIo@Ci@SiAIo@As@BmCAc@@{A@_@COOKa@Ei@Oq@IQGWCQGWCEEWC{A_@QAYG]EU@MCCGAcDQwC@eBE}@@OEkA@}@MmCAy@EiB?a@Cs@Gy@@kC', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[51.038465, 4.584241]","[51.038372, 4.583275]",3.469,4.62,True,177.2,195.0,False,True,10.2,2.4,17286630823,17286630823,garmin_ping_492991064216,False,2,0,False,86.7,439.5,561.0,440.0,True,671.9
2,"{'id': 54565248, 'resource_state': 1}",Ochtendtraining,0.0,3923,3923,0.0,Workout,Workout,,16167809222,2025-10-17T08:10:05Z,2025-10-17T10:10:05Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,6,0,1,0,"{'id': 'a16167809222', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,117.8,180.0,False,True,0.0,0.0,17251455344,17251455344,garmin_ping_491822345471,False,0,0,False,,,,,,
2,"{'id': 54565248, 'resource_state': 1}",Ochtendloop,42455.1,15197,15285,100.0,Run,Run,,16117253114,2025-10-12T08:19:05Z,2025-10-12T10:19:05Z,(GMT+01:00) Europe/Brussels,7200.0,,,,14,29,6,13,0,"{'id': 'a16117253114', 'summary_polyline': 'a~owHuosR{AcGu@aGqCuFyJiMc@kAIaAfCcDdBwDxAyAxF|IzChH\\NhEiEfCeBfEwHvKuLRe@Ea@}ByD_A}@q@gBqH{Nk@m@uAI_A~Cc@lDwBjAaGkEc@CqGjLiE`EkCcJq@}A@g@zAgC`BeEbO{MZk@L_AiAiBoJgI}D{EmBo@uE]cQlC_NxG}GtFiH~EgDnDwEvD{CzFa@KyAcD@cA^wBeAwD}Sof@{Wwo@oRyc@_J}TyFcIeS{VoCcEuAmA}h@yp@oUuXW}@cEuGhC{GcAqB{EjFqGxJ_TdN_I`DuNbKcGfFd@pD`CdJxBhGnDzL`@bDzBtJh@dDrBnFnAfBEfASNoI_JSMAPvN~NYbOTbGdB`HvBfFpBtIdAnCjBxC|@|EfIzGbGvDh@lAfC`_@XbIxBdA\\xBE~PFfJdBzHf@lHfW}@`IaBbPwA|JoClDAtM`DhDzBrEdEjHfDdInFdEr@vENfLa@|FcA|@b@rD~D`BHvBYbHlBVCVi@`A_TV{Ad@o@r@xBl@z@pBhAjFxA`ExDzBFjGgBbHfA~DyAb@j@~AdGbCvLb@jDd@`ACrAcBtEc@nDhA`Dh@aAx@l@vCuArDeHvCbHdFlF|B~C~DvM|BJzDq@~CrCtAp@vMfBNV`@fEj@`C\\h@XAzEiEtEmBtFgAnDjCxA@|@`AbKvDhNrGnAbAzHxAfGvCtGjBtMfBvIpCxLtBHVwFtIoA^cBEKvARbAdRnKvDxApBhCnEzApHhFxNtIrItEl@O}Gqb@q@uNDeF{BaN_@cAuAa@qId@uFjAaMxGgF^eBe@IoVLoAjBATj@DpBVh@h@HzEyBzDmCnFkGfBcEpAqDnDgNGa@oBuB_AeDk@HmCjBMEiBtDaArD{ApDmDvEkFnCaERIa[eBwH}BwFs@eCgBoMl@w@tXoNF_DrBwCPgAoEqTUg@{HBkEjD_Cl@eKeBeRn@eCbAUvA`@xD|B|]h@dEk@sCmDie@Og@uGGoEh@iCx@qFpCsAR{D|EyAdCWz@kAzI}B`FyCbEkEdEiBfAK[ReBt@yBPiAYwDk@{B{@gAiGwBkG}Iu@\\_@UsBuDkAoAk@gBkIcOuACgAzD]~B[f@eAd@m@AwC_CoBcAyGbL}DdEQ@wDaMJaA~DmIdPcNTmA_@eA{AqAkAoB_BeA}FcHaAm@sJqAsEv@qAG_DzAwCn@uIzEaBj@oRtN_JjIwBzD]fAz@|ArChLz@~@~CtAxCh@~DzDjAVjJqBrFnAnE}ATRx@`CpArF|BdMj@|A|DiAtEc@', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[51.20497, 3.218037]","[51.209129, 3.224793]",2.794,10.04,True,168.8,191.0,False,True,17.8,-0.6,17200398531,17200398531,garmin_ping_490100838456,False,7,0,False,84.0,343.9,512.0,353.0,True,5216.8
2,"{'id': 54565248, 'resource_state': 1}",Ochtendloop,4044.9,1449,1459,20.0,Run,Run,,16102124980,2025-10-11T06:56:15Z,2025-10-11T08:56:15Z,(GMT+01:00) Europe/Amsterdam,7200.0,,,,0,11,0,1,0,"{'id': 'a16102124980', 'summary_polyline': 'uwpxHaduSD?xAjAVLx@p@fAt@LNVd@Nb@Hd@ZpAJr@Bb@ZpCH`@Hp@FR@`@Cz@Gl@Ol@]dAs@rAWn@{@hBIL[Z_@VWHQ@k@Ak@Ik@Sg@g@Oa@Ye@IAIDo@r@i@\\E?OHEJ?FFt@Lh@PtARt@Dd@Pp@@FCPIJKBo@Gm@MMKg@CKGsAQYGSCYIM?YGmAWM@o@GYKg@GMG_@Ak@REAI@[Ei@_@m@k@GIUm@Os@Wk@Oi@MSGYk@_ECe@ScAU}@c@aDImAMiDM_AOs@}@aC[eBI}@Ks@c@kBUwAS_@u@gDE_@Eu@GmBI{@GqBOeASo@E]Ok@Gg@u@kDEm@k@sAOw@K]C]Ai@BOFIv@Yd@i@^Wz@_AHEPFHGDSFK^AJIF?\\d@DPOa@QSI?@JPTVr@`@vAn@bBlAfEr@pBJb@`AlCnAjEt@vBXhAz@fC`@zAh@~AJ^h@vA`AxCHIFU^s@lAgBf@c@dA}Af@_@HMN_@FGTTP\\NPPZd@h@THRTTJJNLFJJJNJHXXl@Zh@f@', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[51.372911, 3.390254]","[51.373072, 3.390388]",2.792,3.52,True,151.1,169.0,False,True,18.0,1.6,17185068113,17185068113,garmin_ping_489657976905,False,0,0,False,87.1,346.6,471.0,346.0,True,504.6
2,"{'id': 54565248, 'resource_state': 1}",Namiddagloop,6523.6,2238,2238,7.0,Run,Run,,16075563879,2025-10-08T14:35:05Z,2025-10-08T16:35:05Z,(GMT+01:00) Europe/Brussels,7200.0,,,,2,14,0,1,0,"{'id': 'a16075563879', 'summary_polyline': 'imovHak~ZBIK}BFe@H[NYr@{@f@u@z@cAn@_AJKD]DKf@Un@a@HCHFHR\\pB@\\RbBJzDZlCN`AFx@JtEEpA?~BB~BLdDDxBLzCBfB@~DFbFE`EFj@DDHANOd@YxAiAf@YNO~BcBDAb@Yj@e@d@YXWjBiAZ[|AeAr@m@~AaAf@a@LG~@s@NQb@Yz@c@PO|Ay@NOj@YFINg@n@wAn@gAfBk@`AS\\Qn@KRKj@Qz@M~@QXAHCfAOd@@^Oh@Eh@KVANI^@TC^KN?^ITABCLSF]ZeAL}@n@aCJo@ZeAHg@LsBBuGDYLULI`A[hAo@t@Y\\QPEFKIy@SyDA{B@w@Dg@TkBTiARm@t@{AL]b@wBFaAAmAWsBm@wBSe@o@y@IQw@cAe@eAOUOCg@Hu@Da@De@AOEIEa@c@I?QJe@Lq@H]JWLK?m@Li@TkB`@UHi@HkAb@cARkDbBUBK?y@]_AU]SCCWaAQSgA}@U[ISg@w@a@mAI]S[UKUCOGw@EaASc@DYE{@g@c@_@}@c@EEu@a@CEQG}A_Ao@]O@OLS`AUr@i@zBUh@i@dBMJIAc@K_@Su@UECQICE_@Sa@i@w@o@uAcBUOUAOHSVK`@AzDGtBGbAGnBg@nGO`AC^Az@Br@GlAMt@Ur@Wn@c@j@e@\\CDCPB|@J~@ADKT@DN@HFDNj@pGJv@Pj@@PENIHsAp@Gh@GJUNOP_AvAY\\s@fAk@r@ENEn@HrD', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[51.038457, 4.584334]","[51.038419, 4.584056]",2.915,3.62,True,153.4,163.0,False,True,10.0,5.2,17158262764,17158262764,garmin_ping_488717130975,False,0,0,False,85.4,359.3,421.0,358.0,True,804.0
2,"{'id': 54565248, 'resource_state': 1}",Namiddagloop,16013.0,5250,5322,127.0,Run,Run,,16041972407,2025-10-05T12:07:20Z,2025-10-05T14:07:20Z,(GMT+01:00) Europe/Brussels,7200.0,,,,15,14,0,1,0,"{'id': 'a16041972407', 'summary_polyline': 'u{_uHo_kZsAkBa@kAk@uC[s@YUa@u@q@iCc@o@mAyCq@mBu@mA_AqBiAwCk@cDUo@G{@yCiH_C{GgBoE{@mCqDcJuBgG_AiCw@eBi@iB}BeG_AsCWe@[gAk@oA[iAwBsFuAcEiCaHmAyDe@eAWcAo@sAc@oA]yAgAeCiBwGe@yB_AuCWoAi@_Bg@qBo@sBYoAyAqFWqAiAyDg@oAW{AQe@{A{B_@YcAkA[e@w@u@sDyE{AyAgA{AuGmHwAkBeBiBUe@w@s@y@eA]WsBoC]EUHMPQh@MJIASQi@MeBw@yAy@{Ag@kEqBmBgAm@Ui@c@sA}BuB}Dy@qAUg@aD_G{AcC}@kB}CiFQQQ@YPs@|@SIQi@?MMe@[w@c@u@oEoEoC_EQc@Ky@F}FWaCeA}Du@qBuBwDa@a@o@]w@CcANa@PWZ[f@W`AMxA?VHlAj@vDFjDMnCs@xFOtBUhH?jBRjJ^tFFhBNfBX~Ah@fBdBjE~@`DbA`Cj@lBxFrOpAdETb@bDxIrAdE\\t@h@nBXf@^nANVbApCPv@h@vDp@xCnAjI`@xANhAZx@`@f@b@zAHbBX\\Hj@HNRTp@XtCHZC@c@S]IWBUCi@WcABWHId@yAj@kArAoAj@y@ZWl@iAPCn@r@b@r@`AdA?Po@jBJf@PXp@f@f@PLNPb@bAn@rAbBl@ZdA~@v@\\^`@t@jAxAz@`@`@f@VrApANAT_@JE|AdAb@LZAd@Sn@k@`@i@\\o@V`@\\@VGpCiDnBaBtAaBjAcAT]xAyAPEPTlBtFx@zCP\\`DrJdAnDlAlDrBvGf@R~DBFJ@^Tx@Dh@BrCLxCAtAG@OLPSDLBrAXhBL|AA`CmACaAQU@IDKR[~@^tAVdB^lE`@`E`AlGZlApA|FRjAVjA`AbCr@lCr@nD@d@Nx@Eh@IjHBbB?xDEz@A`BBnAMbDB^IlC@rBC\\AxB?nAC|@@`EGxBFVRD|EmBhBe@~D{APObCo@rBaAp@OzAm@pGDrDOfCBbAGdG?hICRG@Yg@w@e@e@a@{@a@qCWy@aAoAs@iCoAaCmBaFi@q@i@aAWaAaAgC]{AKy@]mAEe@Kc@}BiGCAAH~BbGl@fCj@dDdAdCZbAjBfD^rAdAdCz@tAr@hCn@x@R^XbBLb@z@n@hArB', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[50.794998, 4.485208]","[50.795006, 4.485438]",3.05,4.54,True,166.0,186.0,False,True,130.4,64.0,17124299627,17124299627,garmin_ping_487609760087,False,11,0,False,85.6,391.0,580.0,396.0,True,2053.0
2,"{'id': 54565248, 'resource_state': 1}",Middagtraining,0.0,3784,3784,0.0,Workout,Workout,,16028298072,2025-10-04T09:06:36Z,2025-10-04T11:06:36Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,3,0,1,0,"{'id': 'a16028298072', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,131.9,192.0,False,True,0.0,0.0,17110419535,17110419535,garmin_ping_487203451962,False,0,0,False,,,,,,
2,"{'id': 54565248, 'resource_state': 1}",Avondloop,8069.6,2371,2371,4.0,Run,Run,,16000509899,2025-10-01T16:18:48Z,2025-10-01T18:18:48Z,(GMT+01:00) Europe/Brussels,7200.0,,,,2,13,1,1,0,"{'id': 'a16000509899', 'summary_polyline': 'omovHqo~ZFk@p@{@tAsBNMVc@^c@^k@Da@JINGNCv@c@HHDLRfAFb@J`@NfBB`APzCXdCJl@HlA@`BBl@EhA@rBAZ?pAR`I?XFr@HdDD`DA`CJ`DAl@BdFP~AJr@n@vFLr@d@~D?d@Df@H`@@n@Db@DhBAZ@~@E~Ci@zE_@pCQxB{@rGElAHbCFjAEf@SpAGZWtBa@bCGr@CHW`BSlBIhB?d@EnAA~@Ev@?fAHd@HJJ@r@KfAWR?b@I^Br@KRDb@APDb@APBd@EPDJ?b@KD@r@Kb@M`ASD@z@QF?XMx@gANIz@aA\\g@|@eANU^a@fC_DTSz@aA`CgCf@u@NOZc@TSJGb@EVMLOFAJDFLZzAVn@\\nAd@nAPn@pAtDV~@`DvJLj@tAbEBPEN}@pAYt@oAhBoA`Cq@x@[f@EBc@r@QNYf@KDc@Fw@\\s@PG?ULWDQHYBKAOQQ[KUIKQKWGs@VSNSDUNGAa@XSHIJOj@Cf@Df@Rh@HLXH\\EbAc@fAk@D?JJL@LEHKP{@Di@EwAGy@EQWGc@Be@LEAWLk@L[NYFUPQB_@ZQFk@\\I@QOOWKo@Yu@GK_@]U[c@[IA_@@QDWGI@cB\\}@Hg@NSBi@J_@Pa@Ja@P[HSJUDYJeBXe@LQHYDWLKECSA_@Ee@A_@U{BG_@OuAQkCWaBUkCEuEJgFAc@FgA@}@Dq@p@kFl@mDLiAJk@PwAB_@EuAOwBBc@Z}BBg@\\{BNiBXmBDi@`@wDJwAF{ACs@A}BGgCMeAm@gE_@uDa@gCI_BOeA?c@Fu@@k@ImC?_AAGEGIGe@GEEe@GEEKAWCQIe@GSGg@GQGWEQGs@ISIm@GEBEAMECo@?u@KiCB]E{@AgACa@?uAG}@B_@E}AEi@BgAMyACyCIsE', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[51.038481, 4.585052]","[51.038391, 4.583526]",3.403,5.26,True,173.1,188.0,False,True,8.2,2.2,17082259103,17082259103,garmin_ping_486253810669,False,1,0,False,86.6,422.9,580.0,422.0,True,1002.1
